[2023-11-28 12:59:37,853][__main__][INFO] - Found GPU with device_name Tesla V100-PCIE-32GB. Will run RFdiffusion on Tesla V100-PCIE-32GB
[2023-11-28 12:59:37,854][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /home/schaerer/Protein_design2/pipeline_code/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2023-11-28 12:59:53,764][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2023-11-28 12:59:53,901][rfdiffusion.diffusion][INFO] - Calculating IGSO3.
[2023-11-28 13:01:22,060][rfdiffusion.inference.model_runners][INFO] - Timestep 16, input to next step: --------------
[2023-11-28 13:01:22,472][rfdiffusion.inference.model_runners][INFO] - Timestep 15, input to next step: --------------
[2023-11-28 13:01:22,882][rfdiffusion.inference.model_runners][INFO] - Timestep 14, input to next step: --------------
[2023-11-28 13:01:23,292][rfdiffusion.inference.model_runners][INFO] - Timestep 13, input to next step: --------------
[2023-11-28 13:01:23,706][rfdiffusion.inference.model_runners][INFO] - Timestep 12, input to next step: --------------
[2023-11-28 13:01:24,118][rfdiffusion.inference.model_runners][INFO] - Timestep 11, input to next step: --------------
[2023-11-28 13:01:24,530][rfdiffusion.inference.model_runners][INFO] - Timestep 10, input to next step: --------------
[2023-11-28 13:01:24,949][rfdiffusion.inference.model_runners][INFO] - Timestep 9, input to next step: --------------
[2023-11-28 13:01:25,361][rfdiffusion.inference.model_runners][INFO] - Timestep 8, input to next step: --------------
[2023-11-28 13:01:25,771][rfdiffusion.inference.model_runners][INFO] - Timestep 7, input to next step: --------------
[2023-11-28 13:01:26,186][rfdiffusion.inference.model_runners][INFO] - Timestep 6, input to next step: --------------
[2023-11-28 13:01:26,595][rfdiffusion.inference.model_runners][INFO] - Timestep 5, input to next step: --------------
[2023-11-28 13:01:27,006][rfdiffusion.inference.model_runners][INFO] - Timestep 4, input to next step: --------------
[2023-11-28 13:01:27,417][rfdiffusion.inference.model_runners][INFO] - Timestep 3, input to next step: --------------
[2023-11-28 13:01:27,828][rfdiffusion.inference.model_runners][INFO] - Timestep 2, input to next step: --------------
[2023-11-28 13:01:28,372][__main__][INFO] - Finished design in 0.35 minutes
